"period_label","time_offset_sec","total_users","covered_users","uncovered_users","covered_ratio","users_on_poi","users_on_outer_ring"
"night",0,20,1,19,0.05,1,19
"night",1,20,1,19,0.05,1,19
"night",2,20,1,19,0.05,1,19
"night",3,20,1,19,0.05,1,19
"night",4,20,1,19,0.05,1,19
"night",5,20,1,19,0.05,1,19
"night",6,20,1,19,0.05,1,19
"night",7,20,1,19,0.05,1,19
"night",8,20,1,19,0.05,1,19
"night",9,20,1,19,0.05,1,19
"night",10,20,1,19,0.05,1,19
"night",11,20,1,19,0.05,1,19
"night",12,20,1,19,0.05,1,19
"night",13,20,1,19,0.05,1,19
"night",14,20,1,19,0.05,1,19
"night",15,20,1,19,0.05,1,19
"night",16,20,1,19,0.05,1,19
"night",17,20,1,19,0.05,1,19
"night",18,20,1,19,0.05,1,19
"night",19,20,1,19,0.05,1,19
"night",20,20,1,19,0.05,1,19
"night",21,20,1,19,0.05,1,19
"night",22,20,1,19,0.05,1,19
"night",23,20,1,19,0.05,1,19
"night",24,20,1,19,0.05,1,19
"night",25,20,1,19,0.05,1,19
"night",26,20,1,19,0.05,1,19
"night",27,20,1,19,0.05,1,19
"night",28,20,1,19,0.05,1,19
"night",29,20,1,19,0.05,1,19
"night",30,20,1,19,0.05,1,19
"night",31,20,1,19,0.05,1,19
"night",32,20,1,19,0.05,1,19
"night",33,20,1,19,0.05,1,19
"night",34,20,1,19,0.05,1,19
"night",35,20,1,19,0.05,1,19
"night",36,20,1,19,0.05,1,19
"night",37,20,1,19,0.05,1,19
"night",38,20,1,19,0.05,1,19
"night",39,20,1,19,0.05,1,19
"night",40,20,1,19,0.05,1,19
"night",41,20,1,19,0.05,1,19
"night",42,20,1,19,0.05,1,19
"night",43,20,1,19,0.05,1,19
"night",44,20,1,19,0.05,1,19
"night",45,20,1,19,0.05,1,19
"night",46,20,1,19,0.05,1,19
"night",47,20,1,19,0.05,1,19
"night",48,20,1,19,0.05,1,19
"night",49,20,1,19,0.05,1,19
"night",50,20,1,19,0.05,1,19
"night",51,20,1,19,0.05,1,19
"night",52,20,1,19,0.05,1,19
"night",53,20,1,19,0.05,1,19
"night",54,20,1,19,0.05,1,19
"night",55,20,1,19,0.05,1,19
"night",56,20,1,19,0.05,1,19
"night",57,20,1,19,0.05,1,19
"night",58,20,1,19,0.05,1,19
"night",59,20,1,19,0.05,1,19
"night",60,20,1,19,0.05,1,19
"night",61,20,1,19,0.05,1,19
"night",62,20,1,19,0.05,1,19
"night",63,20,1,19,0.05,1,19
"night",64,20,1,19,0.05,1,19
"night",65,20,1,19,0.05,1,19
"night",66,20,1,19,0.05,1,19
"night",67,20,1,19,0.05,1,19
"night",68,20,1,19,0.05,1,19
"night",69,20,1,19,0.05,1,19
"night",70,20,1,19,0.05,1,19
"night",71,20,1,19,0.05,1,19
"night",72,20,1,19,0.05,1,19
"night",73,20,1,19,0.05,1,19
"night",74,20,1,19,0.05,1,19
"night",75,20,1,19,0.05,1,19
"night",76,20,1,19,0.05,1,19
"night",77,20,1,19,0.05,1,19
"night",78,20,1,19,0.05,1,19
"night",79,20,1,19,0.05,1,19
"night",80,20,1,19,0.05,1,19
"night",81,20,1,19,0.05,1,19
"night",82,20,1,19,0.05,1,19
"night",83,20,1,19,0.05,1,19
"night",84,20,1,19,0.05,1,19
"night",85,20,1,19,0.05,1,19
"night",86,20,1,19,0.05,1,19
"night",87,20,1,19,0.05,1,19
"night",88,20,1,19,0.05,1,19
"night",89,20,1,19,0.05,1,19
"night",90,20,1,19,0.05,1,19
"night",91,20,1,19,0.05,1,19
"night",92,20,1,19,0.05,1,19
"night",93,20,1,19,0.05,1,19
"night",94,20,1,19,0.05,1,19
"night",95,20,1,19,0.05,1,19
"night",96,20,1,19,0.05,1,19
"night",97,20,1,19,0.05,1,19
"night",98,20,1,19,0.05,1,19
"night",99,20,1,19,0.05,1,19
"night",100,20,1,19,0.05,1,19
"night",101,20,1,19,0.05,1,19
"night",102,20,1,19,0.05,1,19
"night",103,20,1,19,0.05,1,19
"night",104,20,1,19,0.05,1,19
"night",105,20,1,19,0.05,1,19
"night",106,20,1,19,0.05,1,19
"night",107,20,1,19,0.05,1,19
"night",108,20,1,19,0.05,1,19
"night",109,20,1,19,0.05,1,19
"night",110,20,1,19,0.05,1,19
"night",111,20,1,19,0.05,1,19
"night",112,20,1,19,0.05,1,19
"night",113,20,1,19,0.05,1,19
"night",114,20,1,19,0.05,1,19
"night",115,20,1,19,0.05,1,19
"night",116,20,1,19,0.05,1,19
"night",117,20,1,19,0.05,1,19
"night",118,20,1,19,0.05,1,19
"night",119,20,1,19,0.05,1,19
"night",120,20,1,19,0.05,1,19
"night",121,20,1,19,0.05,1,19
"night",122,20,1,19,0.05,1,19
"night",123,20,1,19,0.05,1,19
"night",124,20,1,19,0.05,1,19
"night",125,20,1,19,0.05,1,19
"night",126,20,1,19,0.05,1,19
"night",127,20,1,19,0.05,1,19
"night",128,20,1,19,0.05,1,19
"night",129,20,1,19,0.05,1,19
"night",130,20,1,19,0.05,1,19
"night",131,20,1,19,0.05,1,19
"night",132,20,1,19,0.05,1,19
"night",133,20,1,19,0.05,1,19
"night",134,20,1,19,0.05,1,19
"night",135,20,1,19,0.05,1,19
"night",136,20,1,19,0.05,1,19
"night",137,20,1,19,0.05,1,19
"night",138,20,1,19,0.05,1,19
"night",139,20,1,19,0.05,1,19
"night",140,20,1,19,0.05,1,19
"night",141,20,1,19,0.05,1,19
"night",142,20,1,19,0.05,1,19
"night",143,20,1,19,0.05,1,19
"night",144,20,1,19,0.05,1,19
"night",145,20,1,19,0.05,1,19
"night",146,20,1,19,0.05,1,19
"night",147,20,1,19,0.05,1,19
"night",148,20,1,19,0.05,1,19
"night",149,20,1,19,0.05,1,19
"night",150,20,1,19,0.05,1,19
"night",151,20,1,19,0.05,1,19
"night",152,20,1,19,0.05,1,19
"night",153,20,1,19,0.05,1,19
"night",154,20,1,19,0.05,1,19
"night",155,20,1,19,0.05,1,19
"night",156,20,1,19,0.05,1,19
"night",157,20,1,19,0.05,1,19
"night",158,20,1,19,0.05,1,19
"night",159,20,1,19,0.05,1,19
"night",160,20,1,19,0.05,1,19
"night",161,20,1,19,0.05,1,19
"night",162,20,1,19,0.05,1,19
"night",163,20,1,19,0.05,1,19
"night",164,20,1,19,0.05,1,19
"night",165,20,1,19,0.05,1,19
"night",166,20,1,19,0.05,1,19
"night",167,20,1,19,0.05,1,19
"night",168,20,1,19,0.05,1,19
"night",169,20,1,19,0.05,1,19
"night",170,20,1,19,0.05,1,19
"night",171,20,1,19,0.05,1,19
"night",172,20,1,19,0.05,1,19
"night",173,20,1,19,0.05,1,19
"night",174,20,1,19,0.05,1,19
"night",175,20,1,19,0.05,1,19
"night",176,20,1,19,0.05,1,19
"night",177,20,1,19,0.05,1,19
"night",178,20,1,19,0.05,1,19
"night",179,20,1,19,0.05,1,19
"night",180,20,1,19,0.05,1,19
"night",181,20,1,19,0.05,1,19
"night",182,20,1,19,0.05,1,19
"night",183,20,1,19,0.05,1,19
"night",184,20,1,19,0.05,1,19
"night",185,20,1,19,0.05,1,19
"night",186,20,1,19,0.05,1,19
"night",187,20,1,19,0.05,1,19
"night",188,20,1,19,0.05,1,19
"night",189,20,1,19,0.05,1,19
"night",190,20,1,19,0.05,1,19
"night",191,20,1,19,0.05,1,19
"night",192,20,1,19,0.05,1,19
"night",193,20,1,19,0.05,1,19
"night",194,20,1,19,0.05,1,19
"night",195,20,1,19,0.05,1,19
"night",196,20,1,19,0.05,1,19
"night",197,20,1,19,0.05,1,19
"night",198,20,1,19,0.05,1,19
"night",199,20,1,19,0.05,1,19
"night",200,20,1,19,0.05,1,19
"night",201,20,1,19,0.05,1,19
"night",202,20,1,19,0.05,1,19
"night",203,20,1,19,0.05,1,19
"night",204,20,1,19,0.05,1,19
"night",205,20,1,19,0.05,1,19
"night",206,20,1,19,0.05,1,19
"night",207,20,1,19,0.05,1,19
"night",208,20,1,19,0.05,1,19
"night",209,20,1,19,0.05,1,19
"night",210,20,1,19,0.05,1,19
"night",211,20,1,19,0.05,1,19
"night",212,20,1,19,0.05,1,19
"night",213,20,1,19,0.05,1,19
"night",214,20,1,19,0.05,1,19
"night",215,20,1,19,0.05,1,19
"night",216,20,1,19,0.05,1,19
"night",217,20,1,19,0.05,1,19
"night",218,20,1,19,0.05,1,19
"night",219,20,1,19,0.05,1,19
"night",220,20,1,19,0.05,1,19
"night",221,20,1,19,0.05,1,19
"night",222,20,1,19,0.05,1,19
"night",223,20,1,19,0.05,1,19
"night",224,20,1,19,0.05,1,19
"night",225,20,1,19,0.05,1,19
"night",226,20,1,19,0.05,1,19
"night",227,20,1,19,0.05,1,19
"night",228,20,1,19,0.05,1,19
"night",229,20,1,19,0.05,1,19
"night",230,20,1,19,0.05,1,19
"night",231,20,1,19,0.05,1,19
"night",232,20,1,19,0.05,1,19
"night",233,20,1,19,0.05,1,19
"night",234,20,1,19,0.05,1,19
"night",235,20,1,19,0.05,1,19
"night",236,20,1,19,0.05,1,19
"night",237,20,1,19,0.05,1,19
"night",238,20,1,19,0.05,1,19
"night",239,20,1,19,0.05,1,19
"night",240,20,1,19,0.05,1,19
"night",241,20,1,19,0.05,1,19
"night",242,20,1,19,0.05,1,19
"night",243,20,1,19,0.05,1,19
"night",244,20,1,19,0.05,1,19
"night",245,20,1,19,0.05,1,19
"night",246,20,1,19,0.05,1,19
"night",247,20,1,19,0.05,1,19
"night",248,20,1,19,0.05,1,19
"night",249,20,1,19,0.05,1,19
"night",250,20,1,19,0.05,1,19
"night",251,20,1,19,0.05,1,19
"night",252,20,1,19,0.05,1,19
"night",253,20,1,19,0.05,1,19
"night",254,20,1,19,0.05,1,19
"night",255,20,1,19,0.05,1,19
"night",256,20,1,19,0.05,1,19
"night",257,20,1,19,0.05,1,19
"night",258,20,1,19,0.05,1,19
"night",259,20,1,19,0.05,1,19
"night",260,20,1,19,0.05,1,19
"night",261,20,1,19,0.05,1,19
"night",262,20,1,19,0.05,1,19
"night",263,20,1,19,0.05,1,19
"night",264,20,1,19,0.05,1,19
"night",265,20,1,19,0.05,1,19
"night",266,20,1,19,0.05,1,19
"night",267,20,1,19,0.05,1,19
"night",268,20,1,19,0.05,1,19
"night",269,20,1,19,0.05,1,19
"night",270,20,1,19,0.05,1,19
"night",271,20,1,19,0.05,1,19
"night",272,20,1,19,0.05,1,19
"night",273,20,1,19,0.05,1,19
"night",274,20,1,19,0.05,1,19
"night",275,20,1,19,0.05,1,19
"night",276,20,1,19,0.05,1,19
"night",277,20,1,19,0.05,1,19
"night",278,20,1,19,0.05,1,19
"night",279,20,1,19,0.05,1,19
"night",280,20,1,19,0.05,1,19
"night",281,20,1,19,0.05,1,19
"night",282,20,1,19,0.05,1,19
"night",283,20,1,19,0.05,1,19
"night",284,20,1,19,0.05,1,19
"night",285,20,1,19,0.05,1,19
"night",286,20,1,19,0.05,1,19
"night",287,20,1,19,0.05,1,19
"night",288,20,1,19,0.05,1,19
"night",289,20,1,19,0.05,1,19
"night",290,20,1,19,0.05,1,19
"night",291,20,1,19,0.05,1,19
"night",292,20,1,19,0.05,1,19
"night",293,20,1,19,0.05,1,19
"night",294,20,1,19,0.05,1,19
"night",295,20,1,19,0.05,1,19
"night",296,20,1,19,0.05,1,19
"night",297,20,1,19,0.05,1,19
"night",298,20,1,19,0.05,1,19
"night",299,20,1,19,0.05,1,19
"night",300,20,1,19,0.05,1,19
"night",301,20,1,19,0.05,1,19
"night",302,20,1,19,0.05,1,19
"night",303,20,1,19,0.05,1,19
"night",304,20,1,19,0.05,1,19
"night",305,20,1,19,0.05,1,19
"night",306,20,1,19,0.05,1,19
"night",307,20,1,19,0.05,1,19
"night",308,20,1,19,0.05,1,19
"night",309,20,1,19,0.05,1,19
"night",310,20,1,19,0.05,1,19
"night",311,20,1,19,0.05,1,19
"night",312,20,1,19,0.05,1,19
"night",313,20,1,19,0.05,1,19
"night",314,20,1,19,0.05,1,19
"night",315,20,1,19,0.05,1,19
"night",316,20,1,19,0.05,1,19
"night",317,20,1,19,0.05,1,19
"night",318,20,1,19,0.05,1,19
"night",319,20,1,19,0.05,1,19
"night",320,20,1,19,0.05,1,19
"night",321,20,1,19,0.05,1,19
"night",322,20,1,19,0.05,1,19
"night",323,20,1,19,0.05,1,19
"night",324,20,1,19,0.05,1,19
"night",325,20,1,19,0.05,1,19
"night",326,20,1,19,0.05,1,19
"night",327,20,1,19,0.05,1,19
"night",328,20,1,19,0.05,1,19
"night",329,20,1,19,0.05,1,19
"night",330,20,1,19,0.05,1,19
"night",331,20,1,19,0.05,1,19
"night",332,20,1,19,0.05,1,19
"night",333,20,1,19,0.05,1,19
"night",334,20,1,19,0.05,1,19
"night",335,20,1,19,0.05,1,19
"night",336,20,1,19,0.05,1,19
"night",337,20,1,19,0.05,1,19
"night",338,20,1,19,0.05,1,19
"night",339,20,1,19,0.05,1,19
"night",340,20,1,19,0.05,1,19
"night",341,20,1,19,0.05,1,19
"night",342,20,1,19,0.05,1,19
"night",343,20,1,19,0.05,1,19
"night",344,20,1,19,0.05,1,19
"night",345,20,1,19,0.05,1,19
"night",346,20,1,19,0.05,1,19
"night",347,20,1,19,0.05,1,19
"night",348,20,1,19,0.05,1,19
"night",349,20,1,19,0.05,1,19
"night",350,20,1,19,0.05,1,19
"night",351,20,1,19,0.05,1,19
"night",352,20,1,19,0.05,1,19
"night",353,20,1,19,0.05,1,19
"night",354,20,1,19,0.05,1,19
"night",355,20,1,19,0.05,1,19
"night",356,20,1,19,0.05,1,19
"night",357,20,1,19,0.05,1,19
"night",358,20,1,19,0.05,1,19
"night",359,20,1,19,0.05,1,19
"night",360,20,1,19,0.05,1,19
"night",361,20,1,19,0.05,1,19
"night",362,20,1,19,0.05,1,19
"night",363,20,1,19,0.05,1,19
"night",364,20,1,19,0.05,1,19
"night",365,20,1,19,0.05,1,19
"night",366,20,1,19,0.05,1,19
"night",367,20,1,19,0.05,1,19
"night",368,20,1,19,0.05,1,19
"night",369,20,1,19,0.05,1,19
"night",370,20,1,19,0.05,1,19
"night",371,20,1,19,0.05,1,19
"night",372,20,1,19,0.05,1,19
"night",373,20,1,19,0.05,1,19
"night",374,20,1,19,0.05,1,19
"night",375,20,1,19,0.05,1,19
"night",376,20,1,19,0.05,1,19
"night",377,20,1,19,0.05,1,19
"night",378,20,1,19,0.05,1,19
"night",379,20,1,19,0.05,1,19
"night",380,20,1,19,0.05,1,19
"night",381,20,1,19,0.05,1,19
"night",382,20,1,19,0.05,1,19
"night",383,20,1,19,0.05,1,19
"night",384,20,1,19,0.05,1,19
"night",385,20,1,19,0.05,1,19
"night",386,20,1,19,0.05,1,19
"night",387,20,1,19,0.05,1,19
"night",388,20,1,19,0.05,1,19
"night",389,20,1,19,0.05,1,19
"night",390,20,1,19,0.05,1,19
"night",391,20,1,19,0.05,1,19
"night",392,20,1,19,0.05,1,19
"night",393,20,1,19,0.05,1,19
"night",394,20,1,19,0.05,1,19
"night",395,20,1,19,0.05,1,19
"night",396,20,1,19,0.05,1,19
"night",397,20,1,19,0.05,1,19
"night",398,20,1,19,0.05,1,19
"night",399,20,1,19,0.05,1,19
"night",400,20,1,19,0.05,1,19
"night",401,20,1,19,0.05,1,19
"night",402,20,1,19,0.05,1,19
"night",403,20,1,19,0.05,1,19
"night",404,20,1,19,0.05,1,19
"night",405,20,1,19,0.05,1,19
"night",406,20,1,19,0.05,1,19
"night",407,20,1,19,0.05,1,19
"night",408,20,1,19,0.05,1,19
"night",409,20,1,19,0.05,1,19
"night",410,20,1,19,0.05,1,19
"night",411,20,1,19,0.05,1,19
"night",412,20,1,19,0.05,1,19
"night",413,20,1,19,0.05,1,19
"night",414,20,1,19,0.05,1,19
"night",415,20,1,19,0.05,1,19
"night",416,20,1,19,0.05,1,19
"night",417,20,1,19,0.05,1,19
"night",418,20,1,19,0.05,1,19
"night",419,20,1,19,0.05,1,19
"night",420,20,1,19,0.05,1,19
"night",421,20,1,19,0.05,1,19
"night",422,20,1,19,0.05,1,19
"night",423,20,1,19,0.05,1,19
"night",424,20,1,19,0.05,1,19
"night",425,20,1,19,0.05,1,19
"night",426,20,1,19,0.05,1,19
"night",427,20,1,19,0.05,1,19
"night",428,20,1,19,0.05,1,19
"night",429,20,1,19,0.05,1,19
"night",430,20,1,19,0.05,1,19
"night",431,20,1,19,0.05,1,19
"night",432,20,1,19,0.05,1,19
"night",433,20,1,19,0.05,1,19
"night",434,20,1,19,0.05,1,19
"night",435,20,1,19,0.05,1,19
"night",436,20,1,19,0.05,1,19
"night",437,20,1,19,0.05,1,19
"night",438,20,1,19,0.05,1,19
"night",439,20,1,19,0.05,1,19
"night",440,20,1,19,0.05,1,19
"night",441,20,1,19,0.05,1,19
"night",442,20,1,19,0.05,1,19
"night",443,20,1,19,0.05,1,19
"night",444,20,1,19,0.05,1,19
"night",445,20,1,19,0.05,1,19
"night",446,20,1,19,0.05,1,19
"night",447,20,1,19,0.05,1,19
"night",448,20,1,19,0.05,1,19
